ǧnzaabiihang	vti	your choice of English gloss
niizhoohgamzang	vti	your choice of English gloss
dbahminaan	nm	your choice of English gloss
aabaabkahgan	ni	your choice of English gloss
ǧpahnaad	vta	your choice of English gloss
waas'kwahgaadeg	vii	your choice of English gloss
aatwehshkodewed	vai	your choice of English gloss
jakhang	vti	your choice of English gloss
naazhaabiihged	vai	your choice of English gloss
waakaahaaǩnigan	ni	your choice of English gloss
giiwehmaazod	vai	your choice of English gloss
beshwajhaad	vta	your choice of English gloss
biiǧhwaad	vta	your choice of English gloss
zaagjiyhiing	av	your choice of English gloss
jiishaaǩhignaabik	ni	your choice of English gloss
bpaaǩhang	vai	your choice of English gloss
wzhibiihganaak	na	your choice of English gloss
bbaamnizhhwaad	vta	your choice of English gloss
nndonehged	vai	your choice of English gloss
gaashkkamgahgan	ni	your choice of English gloss
gwenwibiihod	vai	your choice of English gloss
mhiingan	na	your choice of English gloss
aabhamwaad	vta	your choice of English gloss
wiiǩhobiimgak	vii	your choice of English gloss
bgidhang	vii	your choice of English gloss
baaghwaad	vta	your choice of English gloss
mshkikiiwhaad	vta	your choice of English gloss
yahaa	na	your choice of English gloss
zhgajbiihod	vai	your choice of English gloss
wwiihdizid	vai	your choice of English gloss
waanaaȟgong	vii	your choice of English gloss
mzinaabdoohganaatig	ni	your choice of English gloss
mwihaawsod	vai	your choice of English gloss
mzin'higetmawaad	vta	your choice of English gloss
webaahang	vii	your choice of English gloss
mdaabiibhidwaad	vaip	your choice of English gloss
yahaawish	na	your choice of English gloss
biindgebnihod	vai	your choice of English gloss
mii kodhi	pt	your choice of English gloss
gzhizhwigaadeȟsed	vai	your choice of English gloss
zhidaabiihwed	vai	your choice of English gloss
biidhoonaad	vta	your choice of English gloss
dbahaabaaneyaag	vii	your choice of English gloss
wnzaamaaphaad	vta	your choice of English gloss
bkiteshkhiged	vai	your choice of English gloss
biin'hang	vti	your choice of English gloss
wshkiwaakaahganed	vai	your choice of English gloss
noojhikwewed	vai	your choice of English gloss
pizdeyaaǩhigan	ni	your choice of English gloss
dso-namhe-giizhik	av	your choice of English gloss
maadhang	vti	your choice of English gloss
waan'higed	vai	your choice of English gloss
shi-bezhgo-dbahganeg	vii	your choice of English gloss
gziibiighwaad	vta	your choice of English gloss
n'gadhwaad	vta	your choice of English gloss
mdwehgaadeg	vii	your choice of English gloss
zhzhoobiighignaak	ni	your choice of English gloss
wshkayhaawid	vai	your choice of English gloss
waabskaaǩgahged	vai	your choice of English gloss
gaasiihang	vti	your choice of English gloss
zgahwaad	vta	your choice of English gloss
wzaawhod	vai	your choice of English gloss
ǧpibhigod	vai	your choice of English gloss
gaasiidoonehod	vai	your choice of English gloss
boon'hidwaad	vaip	your choice of English gloss
bshkodhiged	vai	your choice of English gloss
bshanzhehgan	ni	your choice of English gloss
gwaabwebhang	vti	your choice of English gloss
bdakmighignaak	ni	your choice of English gloss
biimhizgahgan	ni	your choice of English gloss
bkitejiihgewnini	na	your choice of English gloss
bgwahged	vai	your choice of English gloss
ggiikwe-mzin'higan	ni	your choice of English gloss
webhaaǧnaan	na	your choice of English gloss
nbehaad	vta	your choice of English gloss
aabaabkwahang	vti	your choice of English gloss
giiwe-dbahgewin	ni	your choice of English gloss
gkakhaad	vta	your choice of English gloss
shpayhii	av	your choice of English gloss
nikeyhiing	av	your choice of English gloss
aanznaaǧhidzod	vai	your choice of English gloss
baataahaad	vta	your choice of English gloss
zhaangso-dbahganeg	vii	your choice of English gloss
wiisgendmihaad	vta	your choice of English gloss
gozhehaad	vta	your choice of English gloss
gbaaǩhwaad	vta	your choice of English gloss
mzinbiihgaazod	vai	your choice of English gloss
gziingwehon	ni	your choice of English gloss
jiishdahged	vai	your choice of English gloss
gziibiighigaazod	vai	your choice of English gloss
ǧdahaakwed	vai	your choice of English gloss
endso-dbahgan	av	your choice of English gloss
gbaabkahgan	ni	your choice of English gloss
gziiyaabdehon	ni	your choice of English gloss
naabdoohwaad	vta	your choice of English gloss
bgwahwaad	vta	your choice of English gloss
boon'hamaazod	vai	your choice of English gloss
gaanjdahged	vai	your choice of English gloss
debhookaanaad	vta	your choice of English gloss
noondaaǧmohaad	vta	your choice of English gloss
washthang	vti	your choice of English gloss
